date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:51:58	83495/83495	---M--	200	added ('OK')	text/html	date:Sat,%2015%20Sep%202012%2019:51:37%20GMT	http://www.devjoker.com/gru/Tutorial-Transact-SQL/TSQL/Tutorial-Transact-SQL.aspx	C:/My%20Web%20Sites/Tutorial%20de%20Transact%20SQL%20-%20devjoker.com/www.devjoker.com/gru/Tutorial-Transact-SQL/TSQL/Tutorial-Transact-SQL.html	(from )
13:51:58	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Sep%202012%2019:51:37%20GMT	http://www.devjoker.com/robots.txt		(from )
13:51:59	3202/3202	---M--	200	added ('OK')	text/css	etag:%2280f3499f673cd1:0%22	http://www.devjoker.com/App_Themes/normal/colorbox.css	C:/My%20Web%20Sites/Tutorial%20de%20Transact%20SQL%20-%20devjoker.com/www.devjoker.com/App_Themes/normal/colorbox.css	(from )
13:51:59	2376/2376	---M--	200	added ('OK')	text/css	etag:%225cac6899f673cd1:0%22	http://www.devjoker.com/App_Themes/normal/jquery.lightbox-0.5.css	C:/My%20Web%20Sites/Tutorial%20de%20Transact%20SQL%20-%20devjoker.com/www.devjoker.com/App_Themes/normal/jquery.lightbox-0.5.css	(from )
13:52:00	1706/1706	---M--	200	added ('OK')	text/css	etag:%22e89a6799f673cd1:0%22	http://www.devjoker.com/App_Themes/normal/lavalamp.css	C:/My%20Web%20Sites/Tutorial%20de%20Transact%20SQL%20-%20devjoker.com/www.devjoker.com/App_Themes/normal/lavalamp.css	(from )
13:52:00	22556/22556	---M--	200	added ('OK')	text/css	etag:%2202bb1aa1283cd1:0%22	http://www.devjoker.com/App_Themes/normal/normal.css	C:/My%20Web%20Sites/Tutorial%20de%20Transact%20SQL%20-%20devjoker.com/www.devjoker.com/App_Themes/normal/normal.css	(from )
13:52:01	5957/5957	---M--	200	added ('OK')	text/css	etag:%2280f35096dd7fcd1:0%22	http://www.devjoker.com/App_Themes/normal/oldsite.css	C:/My%20Web%20Sites/Tutorial%20de%20Transact%20SQL%20-%20devjoker.com/www.devjoker.com/App_Themes/normal/oldsite.css	(from )
13:52:01	1190/1190	---M--	200	added ('OK')	text/css	etag:%22adea7999f673cd1:0%22	http://www.devjoker.com/App_Themes/normal/rater.css	C:/My%20Web%20Sites/Tutorial%20de%20Transact%20SQL%20-%20devjoker.com/www.devjoker.com/App_Themes/normal/rater.css	(from )
13:52:02	2553/2553	---M--	200	added ('OK')	text/css	etag:%22af94366f207fcd1:0%22	http://www.devjoker.com/App_Themes/normal/tipTip.css	C:/My%20Web%20Sites/Tutorial%20de%20Transact%20SQL%20-%20devjoker.com/www.devjoker.com/App_Themes/normal/tipTip.css	(from )
13:52:03	69838/69838	---M--	200	added ('OK')	application/x-javascript	etag:%228012ca0f673cd1:0%22	http://www.devjoker.com/js/lib/jquery-lib.js	C:/My%20Web%20Sites/Tutorial%20de%20Transact%20SQL%20-%20devjoker.com/www.devjoker.com/js/lib/jquery-lib.js	(from )
